GEOID,MHI_2013,MHI_2023,Rent_2013,Rent_2023,Value_2013,Value_2023,Income_Change_%,Rent_Change_%,Value_Change_%,OwnerPct_2013,RenterPct_2013,OwnerPct_2023,RenterPct_2023,OwnerChangePct,RenterChangePct,Pct_White_2013,Pct_Black_2013,Pct_Hispanic_2013,Pct_White_2023,Pct_Black_2023,Pct_Hispanic_2023,White_Change_Pct,Black_Change_Pct,Hispanic_Change_Pct
24031007004,123173.0,183672.0,1328.0,1530.0,600200.0,811800.0,49.1170954673508,15.210843373493976,35.25491502832389,85.62874251497006,14.37125748502994,85.88807785888078,14.11192214111922,0.2593353439107204,-0.2593353439107186,88.57273978889398,4.45158329508949,2.2946305644791187,71.57643312101911,11.624203821656051,16.003184713375795,-16.996306667874876,7.172620526566561,13.708554148896676
24031007005,104648.0,197727.0,1637.0,1934.0,455100.0,700200.0,88.94484366638636,18.142944410507024,53.85629531970996,92.6042486231314,7.395751376868607,90.94357515410148,9.05642484589853,-1.6606734690299163,1.6606734690299223,83.03926243840407,10.141471944047051,8.218089333969163,75.7721054858271,2.7781695106472992,11.281906642222536,-7.267156952576968,-7.3633024333997525,3.0638173082533733
24031007018,63355.0,100114.0,1058.0,1449.0,569600.0,857800.0,58.020677136769,36.95652173913043,50.59691011235955,48.06939003917179,51.9306099608282,52.85412262156448,47.14587737843552,4.784732582392685,-4.784732582392678,46.68615984405458,45.84795321637427,4.3274853801169595,42.65455351207623,43.274983381342786,5.406603146465765,-4.031606331978352,-2.5729698350314862,1.0791177663488059
24031007019,55833.0,57283.0,1208.0,1447.0,388700.0,597900.0,2.5970304300324183,19.78476821192053,53.82042706457422,16.61608497723824,83.38391502276176,29.513343799058084,70.48665620094191,12.897258821819843,-12.897258821819849,50.03367003367003,21.07744107744108,36.0942760942761,32.594936708860764,8.860759493670885,52.594936708860764,-17.438733324809263,-12.216681583770194,16.500660614584667
24031007020,47904.0,67902.0,1208.0,1629.0,255400.0,386100.0,41.74599198396793,34.85099337748344,51.17462803445576,44.157369348209045,55.84263065179096,39.19563735514656,60.80436264485344,-4.961731993062486,4.961731993062486,20.382724719101123,17.117275280898877,64.55407303370787,14.065180102915953,21.732418524871356,67.73584905660377,-6.31754461618517,4.615143243972479,3.181776022895903
24031007022,130893.0,198906.0,1290.0,2013.0,437300.0,599500.0,51.96076184364328,56.04651162790698,37.09124171049623,90.7313997477932,9.26860025220681,84.13333333333334,15.866666666666667,-6.598066414459851,6.598066414459858,64.58559930389384,9.310419839025451,25.51664128779639,57.40785940932389,13.985843299975592,15.84085916524286,-7.177739894569953,4.675423460950141,-9.67578212255353
24031007025,64977.0,,1533.0,,249200.0,,,,,,,,,,,,,,,,,,,
24031007027,94167.0,131076.0,1373.0,1892.0,608000.0,857700.0,39.195259485807135,37.80043699927167,41.06907894736842,50.50423557886244,49.49576442113756,58.12244897959184,41.87755102040816,7.618213400729395,-7.618213400729395,52.815364469663905,21.32984140840972,20.485959551869634,40.38383565346668,28.81470468982295,12.974726314366805,-12.431528816197222,7.484863281413229,-7.511233237502829
24031007028,96181.0,148911.0,1733.0,2003.0,539200.0,707500.0,54.823717782098335,15.579919215233698,31.21290801186944,49.1588785046729,50.8411214953271,53.88371060807812,46.11628939192188,4.72483210340522,-4.72483210340522,62.36401673640167,24.8326359832636,10.397489539748953,64.46235574281005,21.377541674299323,9.140868290895767,2.0983390064083736,-3.455094308964277,-1.256621248853186
24031007029,110956.0,154312.0,1376.0,1562.0,634700.0,859000.0,39.074948628285085,13.517441860465116,35.339530486844176,70.74372759856631,29.25627240143369,67.69425675675676,32.30574324324324,-3.0494708418095517,3.0494708418095517,73.48388271717356,15.042797304680386,6.337643416499727,74.23703426324658,9.979404605879049,11.402359108781127,0.7531515460730276,-5.063392698801337,5.0647156922814
24031007030,109722.0,168750.0,1900.0,2421.0,415500.0,600900.0,53.79777984360474,27.421052631578945,44.62093862815885,85.77524893314367,14.224751066856332,92.96636085626912,7.033639143730887,7.191111923125448,-7.191111923125445,66.73629242819842,19.216710182767624,14.308093994778067,66.57397107897664,7.563959955506118,16.295884315906566,-0.16232134922178432,-11.652750227261507,1.9877903211284984
24031007031,105089.0,172105.0,1924.0,2149.0,382500.0,553000.0,63.77070863744064,11.694386694386695,44.575163398692816,84.74148802017655,15.258511979823457,82.99805321219988,17.00194678780013,-1.7434348079766693,1.7434348079766746,70.72749691738595,9.741060419235511,25.524044389642413,47.53241321622752,13.090757005437057,28.732747804265994,-23.19508370115843,3.3496965862015458,3.2087034146235816
24031007038,66174.0,79806.0,1492.0,2023.0,404100.0,608400.0,20.600235742134373,35.58981233243968,50.55679287305123,18.11894882434301,81.88105117565698,34.987384356602185,65.01261564339781,16.86843553225917,-16.86843553225917,33.92511297611362,22.53066494512589,29.761136216914135,24.765200197726152,48.78892733564014,20.8353929807217,-9.159912778387465,26.25826239051425,-8.925743236192435
24031007040,75912.0,140781.0,1221.0,1549.0,371200.0,559900.0,85.45289282326904,26.863226863226863,50.835129310344826,63.69529983792545,36.30470016207455,58.80819366852887,41.191806331471135,-4.887106169396581,4.887106169396581,44.72263868065967,24.31784107946027,22.57871064467766,45.016315633343225,14.417086917828536,31.1183625037081,0.29367695268355476,-9.900754161631733,8.539651859030439
24031007041,161200.0,210329.0,2000.0,3500.0,757000.0,1052800.0,30.477047146401983,75.0,39.07529722589168,86.31578947368422,13.684210526315791,91.40914709517924,8.590852904820766,5.0933576214950165,-5.093357621495025,91.28047441247529,3.2066769163189104,2.086536349659565,81.65562913907284,4.260485651214128,6.335540838852097,-9.624845273402443,1.0538087348952176,4.249004489192532
24031007042,106000.0,149698.0,1379.0,2105.0,643200.0,919400.0,41.22452830188679,52.64684554024656,42.941542288557216,52.41545893719807,47.58454106280193,60.83333333333333,39.16666666666666,8.417874396135261,-8.417874396135268,80.36939313984169,6.437994722955145,4.274406332453825,67.7491103202847,5.338078291814947,13.923487544483987,-12.62028281955699,-1.0999164311401985,9.649081212030161
24031007043,137500.0,206985.0,2000.0,2801.0,636900.0,901700.0,50.53454545454545,40.05,41.5763856178364,88.3076923076923,11.692307692307692,88.19241982507289,11.807580174927114,-0.1152724826194173,0.1152724826194226,89.25444414964181,1.8572565667285754,8.516847970283894,77.67767767767768,3.8288288288288284,2.7277277277277276,-11.576766471964135,1.971572262100253,-5.789120242556167
24031007046,148669.0,204559.0,2000.0,2404.0,718400.0,1116100.0,37.59358036981482,20.200000000000003,55.35913140311804,81.03632478632478,18.963675213675213,70.85656360871769,29.14343639128231,-10.17976117760709,10.179761177607098,84.31521121424512,1.7806402727789354,6.5542716423565075,68.66368410815016,7.430460999805486,6.983077222330286,-15.65152710609496,5.64982072702655,0.4288055799737789
24031007047,234659.0,250000.0,2000.0,1872.0,1000000.0,1631900.0,6.5375715399792895,-6.4,63.190000000000005,92.00298953662184,7.997010463378176,87.25701943844493,12.742980561555076,-4.7459700981768975,4.745970098176899,88.65179437439379,1.4064015518913677,5.625606207565471,74.14034106793402,6.206318143695834,8.30304724629578,-14.51145330645977,4.799916591804466,2.6774410387303087
24031007050,131848.0,203203.0,2000.0,3500.0,760400.0,1127600.0,54.11913718827741,75.0,48.290373487638085,66.77740863787376,33.222591362126245,63.40269277845777,36.59730722154223,-3.3747158594159927,3.3747158594159856,85.36761172513215,6.727534839019703,9.058145122537242,74.65676344812064,3.848750844024308,7.539950483907269,-10.710848277011507,-2.878783994995395,-1.5181946386299732
24031007051,175662.0,223313.0,2000.0,2423.0,907000.0,1292400.0,27.1265270804158,21.15,42.49173098125689,81.14794656110837,18.85205343889164,81.80435884439939,18.195641155600608,0.6564122832910186,-0.6564122832910293,86.46320913686576,5.373525557011796,5.65437184047931,79.35890309431166,9.412636649990736,4.354270891235871,-7.1043060425541,4.03911109297894,-1.300100949243439
24031007052,250000.0,250000.0,2000.0,3500.0,969900.0,1366300.0,0.0,75.0,40.87019280338179,97.27831431079896,2.721685689201053,90.51282051282053,9.487179487179487,-6.765493797978436,6.765493797978434,94.45259759319049,0.6163780452010567,9.656589374816555,83.62537764350452,3.564954682779456,3.3534743202416917,-10.827219949685968,2.948576637578399,-6.303115054574864
24031007053,250000.0,250000.0,2000.0,3500.0,1000000.0,2000000.0,0.0,75.0,100.0,97.30941704035877,2.690582959641256,97.0059880239521,2.9940119760479043,-0.3034290164066533,0.3034290164066484,95.80562659846548,0.0,2.608695652173913,91.39784946236558,0.0,5.21505376344086,-4.407777136099895,0.0,2.606358111266947
24031007054,250000.0,250000.0,2000.0,3500.0,1000000.0,1678700.0,0.0,75.0,67.86999999999999,94.42190669371196,5.578093306288032,94.46092977250248,5.539070227497527,0.039023078790521,-0.039023078790505,91.9287211740042,0.6638714185883997,4.786862334032145,83.70319001386962,0.5894590846047156,5.305131761442441,-8.22553116013458,-0.07441233398368408,0.5182694274102957
24031007058,185500.0,244468.0,2000.0,2986.0,932600.0,1272000.0,31.78867924528302,49.3,36.39288012009436,85.40017590149517,14.599824098504838,82.7720207253886,17.2279792746114,-2.6281551761065742,2.628155176106562,89.26195755464047,2.0589166930630345,2.7874564459930316,79.71130713712911,3.897353648757017,4.731355252606255,-9.550650417511363,1.8384369556939824,1.9438988066132232
24031700101,159663.0,191146.0,1417.0,,617600.0,767200.0,19.718406894521586,,24.22279792746114,99.9366687777074,0.0633312222925902,96.50909090909092,3.490909090909091,-3.4275778686164955,3.427577868616501,74.8715657806567,7.572034844762117,10.83314719678356,70.77509529860228,9.932232105040237,11.795849216433714,-4.096470482054414,2.3601972602781203,0.9627020196501537
24031700103,154265.0,198375.0,2000.0,1214.0,617100.0,836700.0,28.59365377759051,-39.3,35.585804569761784,97.9381443298969,2.061855670103093,94.38888888888889,5.611111111111111,-3.5492554410080146,3.549255441008018,71.81440443213296,9.36634349030471,6.85595567867036,62.01168309602044,10.113179992698065,6.955093099671412,-9.80272133611252,0.7468365023933554,0.0991374210010525
24031700104,112337.0,116296.0,1676.0,1696.0,332900.0,441500.0,3.5242173104142003,1.1933174224343674,32.62240913187144,83.29369797859691,16.70630202140309,94.90968801313628,5.090311986863712,11.61599003453938,-11.61599003453938,50.764413335789285,23.834960397863327,23.006078467489406,43.01788225838859,29.375125577657222,30.05826803295158,-7.746531077400697,5.540165179793895,7.052189565462175
24031700105,103480.0,134514.0,1638.0,2481.0,322500.0,438800.0,29.99033629686896,51.46520146520146,36.06201550387597,88.10759792354884,11.892402076451155,86.9380028395646,13.061997160435402,-1.169595083984234,1.1695950839842464,50.04478948939982,24.54464019110182,15.586742311137652,28.589670828603857,26.16345062429058,18.98410896708286,-21.45511866079596,1.6188104331887594,3.397366655945209
24031700204,84175.0,118971.0,1676.0,1866.0,398200.0,493700.0,41.33768933768934,11.336515513126493,23.98292315419388,90.8466819221968,9.153318077803204,94.3109987357775,5.689001264222504,3.4643168135807088,-3.464316813580699,90.86935405536668,0.6799417192812044,9.47061680427392,75.22816166883963,4.519774011299435,10.386788352890047,-15.641192386527052,3.839832292018231,0.916171548616127
24031700205,149537.0,,1625.0,,497300.0,,,,,,,,,,,,,,,,,,,
24031700206,125593.0,177708.0,1769.0,,441100.0,566500.0,41.49514702252514,,28.428927680798004,96.88796680497926,3.112033195020747,95.96730245231608,4.032697547683924,-0.9206643526631808,0.9206643526631768,83.99216524216524,5.715811965811966,7.87037037037037,62.543372657876475,8.743927827897293,17.852185981956975,-21.448792584288768,3.0281158620853272,9.981815611586605
24031700207,84531.0,130044.0,1544.0,1654.0,304700.0,425100.0,53.84178585371048,7.124352331606218,39.51427633738104,84.8108108108108,15.18918918918919,77.48827514330381,22.5117248566962,-7.322535667506997,7.322535667507008,73.72634643377002,14.173944687045124,15.1018922852984,53.430906671735414,16.973959323322564,21.44079072419692,-20.295439762034604,2.8000146362774405,6.33889843889852
24031700208,100375.0,125167.0,985.0,1606.0,423500.0,513600.0,24.699377334993773,63.045685279187815,21.27508854781582,84.16666666666667,15.833333333333332,95.55895865237366,4.44104134762634,11.39229198570699,-11.392291985706992,93.18533815178111,0.619514713474445,4.491481672689726,68.41038118410381,5.231143552311435,13.990267639902676,-24.774956967677298,4.611628838836991,9.49878596721295
24031700209,,188305.0,,3078.0,,581500.0,,,,,,,,,,,,,,,,,,
24031700210,,181689.0,,2198.0,,660700.0,,,,,,,,,,,,,,,,,,
24031700304,104956.0,,1682.0,,394500.0,,,,,,,,,,,,,,,,,,,
24031700306,110000.0,145724.0,2000.0,2407.0,343500.0,434200.0,32.47636363636364,20.35,26.404657933042213,82.09018120522545,17.909818794774544,83.8209982788296,16.179001721170398,1.7308170736041577,-1.7308170736041468,51.607347876004596,14.88231917336395,16.57577497129736,30.217307445030215,20.509193776520508,18.181818181818183,-21.39004043097438,5.626874603156558,1.6060432105208235
24031700308,90577.0,122361.0,1490.0,2003.0,305800.0,390600.0,35.09058591033043,34.42953020134228,27.730542838456508,73.69658957271659,26.30341042728342,73.63473589973142,26.365264100268572,-0.0618536729851655,0.0618536729851548,56.143767705382444,22.291076487252123,16.519121813031163,40.89127594716214,22.514152997532296,25.214109449847584,-15.252491758220302,0.2230765102801726,8.694987636816421
24031700309,84018.0,96623.0,1508.0,1898.0,260000.0,338900.0,15.0027375086291,25.86206896551724,30.346153846153847,54.55680399500624,45.44319600499376,58.94039735099338,41.05960264900662,4.383593355987138,-4.383593355987138,49.64435527995622,31.95331023162502,19.24129126390662,26.949791625322483,38.440166699742015,23.060130978368722,-22.69456365463374,6.486856468116994,3.8188397144621007
24031700310,78288.0,93338.0,1393.0,1845.0,218100.0,346900.0,19.223891273247496,32.44795405599425,59.05547913801009,57.652880876634846,42.34711912336515,72.93288839451242,27.067111605487582,15.280007517877571,-15.280007517877564,57.781935703350904,23.371321653342406,15.359755060384419,46.474884483529586,24.206290058130868,26.129080339842005,-11.307051219821318,0.8349684047884622,10.769325279457586
24031700311,130114.0,,2000.0,,448300.0,,,,,,,,,,,,,,,,,,,
24031700312,132993.0,,1521.0,,456900.0,,,,,,,,,,,,,,,,,,,
24031700313,,103750.0,,2115.0,,426600.0,,,,,,,,,,,,,,,,,,
24031700314,,216719.0,,2132.0,,745900.0,,,,,,,,,,,,,,,,,,
24031700315,,214688.0,,2719.0,,670000.0,,,,,,,,,,,,,,,,,,
24031700316,,163235.0,,2442.0,,539600.0,,,,,,,,,,,,,,,,,,
24031700317,,171190.0,,3214.0,,678200.0,,,,,,,,,,,,,,,,,,
24031700318,,168214.0,,2531.0,,514100.0,,,,,,,,,,,,,,,,,,
24031700604,166417.0,217679.0,1478.0,3500.0,726100.0,908400.0,30.80334340842582,136.8064952638701,25.10673460955791,94.3820224719101,5.617977528089887,97.205948625507,2.794051374493015,2.8239261535968865,-2.8239261535968723,76.15318906605923,3.9009111617312078,3.6019362186788153,72.5091441111924,3.423555230431602,7.7103145574250185,-3.6440449548668283,-0.47735593129960563,4.108378338746203
24031700606,158375.0,164688.0,2000.0,2473.0,580700.0,758000.0,3.986108918705604,23.65,30.53211641122783,93.80392156862744,6.196078431372549,94.43671766342142,5.563282336578582,0.6327960947939744,-0.6327960947939673,63.63030437680516,0.4443457009553432,3.8880248833592534,50.1,7.875,6.125,-13.530304376805155,7.430654299044657,2.2369751166407466
24031700607,164826.0,,2000.0,,628500.0,,,,,,,,,,,,,,,,,,,
24031700608,232566.0,250000.0,1867.0,3500.0,1000000.0,1341300.0,7.49636662280815,87.46652383502946,34.13,96.60922734852696,3.3907726514730405,93.64719228587634,6.352807714123652,-2.962035062650614,2.962035062650612,61.24721603563474,4.9340414596539315,7.024156244646222,56.06006435466572,3.932785126921702,3.2534858777261353,-5.1871516809690235,-1.0012563327322295,-3.7706703669200867
24031700610,142073.0,159188.0,2000.0,2308.0,481100.0,625500.0,12.046623918689688,15.4,30.014549989607147,96.9655172413793,3.034482758620689,89.9390243902439,10.0609756097561,-7.0264928511354015,7.0264928511354094,72.70964614638875,7.901114881240911,11.003393116820165,69.60941680042804,3.210272873194221,7.490636704119851,-3.100229345960713,-4.69084200804669,-3.5127564127003144
24031700611,151147.0,215000.0,2000.0,3050.0,594100.0,752600.0,42.24562842795424,52.5,26.67901026763172,91.33949191685912,8.660508083140877,92.5260718424102,7.473928157589802,1.186579925551058,-1.186579925551075,35.80394500896593,8.876270173341302,13.389121338912133,20.664404357921057,9.573138060367922,8.537238792641542,-15.139540651044875,0.6968678870266203,-4.851882546270591
24031700613,129500.0,164821.0,1732.0,2339.0,550600.0,666600.0,27.27490347490347,35.04618937644342,21.06792589901925,66.68280871670702,33.31719128329298,77.75609756097562,22.243902439024392,11.073288844268603,-11.073288844268586,45.850823377462056,13.23861801743623,7.103648692282855,36.09851919008764,16.228467815049864,11.952251435478997,-9.752304187374413,2.989849797613635,4.8486027431961425
24031700614,74389.0,86460.0,1502.0,1810.0,211700.0,325400.0,16.226861498339808,20.505992010652463,53.708077468115256,58.89811980760822,41.10188019239178,63.29113924050633,36.70886075949368,4.3930194328981145,-4.393019432898107,53.421368547418965,20.36814725890356,19.187675070028014,21.464646464646464,44.27609427609428,20.185185185185187,-31.9567220827725,23.90794701719072,0.9975101151571728
24031700615,145417.0,210000.0,2000.0,2719.0,609600.0,789000.0,44.41227641885062,35.95,29.429133858267715,97.27272727272728,2.727272727272727,92.10526315789474,7.894736842105263,-5.167464114832541,5.167464114832535,83.00312825860271,4.344803614876608,4.449078901633646,63.2328024398509,6.641816333446289,6.065740426973907,-19.770325818751814,2.2970127185696807,1.6166615253402608
24031700616,127228.0,177768.0,2000.0,2538.0,543100.0,758500.0,39.72396013456157,26.9,39.66120419812189,89.24434638720354,10.75565361279647,93.8682322243966,6.131767775603391,4.623885837193072,-4.623885837193079,62.713387241689134,10.714285714285714,3.167115902964959,53.37411584783024,5.7923915121391705,9.061364939782068,-9.339271393858894,-4.921894202146543,5.89424903681711
24031700617,,181042.0,,1994.0,,739800.0,,,,,,,,,,,,,,,,,,
24031700618,,207875.0,,3500.0,,825900.0,,,,,,,,,,,,,,,,,,
24031700704,72554.0,,1164.0,,358400.0,,,,,,,,,,,,,,,,,,,
24031700706,69444.0,102917.0,1411.0,1932.0,323200.0,513600.0,48.20142848914233,36.92416725726435,58.91089108910891,42.5914445133292,57.4085554866708,36.422413793103445,63.57758620689656,-6.169030720225756,6.169030720225756,37.769130998702984,23.761348897535665,29.416342412451364,25.91703056768559,20.131004366812228,28.36244541484716,-11.852100431017394,-3.6303445307234377,-1.0538969976042054
24031700710,92269.0,121823.0,1582.0,1791.0,375400.0,504200.0,32.0302593503777,13.211125158027812,34.310069259456576,81.74334140435835,18.25665859564165,78.67752755150934,21.322472448490657,-3.065813852849004,3.0658138528490118,53.07692307692308,14.711538461538462,31.121794871794872,30.026300409117475,9.248977206312098,40.28345996493279,-23.050622667805605,-5.462561255226364,9.161665093137916
24031700711,97632.0,116150.0,1576.0,2405.0,379900.0,518500.0,18.967141920681744,52.60152284263959,36.483285075019744,75.44513457556936,24.55486542443064,70.61704211557297,29.38295788442703,-4.828092459996384,4.828092459996388,56.291845493562235,12.30901287553648,17.356223175965667,32.186732186732186,17.011128775834656,26.232114467408586,-24.10511330683005,4.7021159002981765,8.875891291442919
24031700713,48485.0,53333.0,1373.0,1844.0,228800.0,294700.0,9.998968753222648,34.304442825928625,28.80244755244756,32.63598326359833,67.36401673640168,35.08064516129033,64.91935483870968,2.4446618976920007,-2.4446618976920007,38.30205540661304,24.18230563002681,39.839142091152816,21.40357698289269,22.045101088646966,50.991446345256605,-16.898478423720352,-2.1372045413798446,11.15230425410379
24031700715,98433.0,104456.0,2000.0,2298.0,304300.0,389700.0,6.118882894964087,14.9,28.064410121590537,86.07046070460704,13.929539295392953,78.37521917007598,21.62478082992402,-7.695241534531064,7.695241534531068,38.232008935694914,25.514600287218762,28.913355672570606,28.56709168184578,15.513054037644203,51.244687310261085,-9.664917253849133,-10.00154624957456,22.33133163769048
24031700716,83726.0,,1546.0,,277900.0,,,,,,,,,,,,,,,,,,,
24031700717,66964.0,,1361.0,,318000.0,,,,,,,,,,,,,,,,,,,
24031700718,113679.0,120918.0,2000.0,2470.0,472100.0,606200.0,6.367930752381707,23.5,28.40499894090235,43.03170409511228,56.96829590488771,51.698670605613,48.301329394387,8.666966510500714,-8.666966510500714,62.908919745822544,10.967286420334196,5.318898564368086,54.00139178844816,8.872651356993737,10.020876826722338,-8.907527957374384,-2.0946350633404585,4.701978262354252
24031700719,55013.0,,1258.0,,200700.0,,,,,,,,,,,,,,,,,,,
24031700720,94624.0,151667.0,1421.0,2178.0,401400.0,545300.0,60.283860331416975,53.27234342012667,35.84952665670155,73.93410852713178,26.06589147286822,55.59471365638766,44.40528634361233,-18.339394870744123,18.339394870744112,51.70068027210885,11.48299319727891,36.87074829931973,29.26255230125523,25.026150627615063,41.78870292887029,-22.438127970853618,13.543157430336153,4.9179546295505645
24031700721,60648.0,75058.0,1240.0,1755.0,168600.0,211600.0,23.76005803983644,41.53225806451613,25.50415183867141,42.78544542032623,57.21455457967378,58.53080568720379,41.46919431279621,15.745360266877562,-15.745360266877569,53.95569620253164,29.707278481012654,22.66613924050633,49.057697883444476,20.759640475500145,41.72223832995071,-4.897998319087165,-8.947638005512509,19.056099089444384
24031700722,77614.0,,1470.0,,255300.0,,,,,,,,,,,,,,,,,,,
24031700723,62431.0,93846.0,1559.0,2129.0,299500.0,457900.0,50.31955278627605,36.56189865298269,52.88814691151919,20.506454816286,79.493545183714,12.09862385321101,87.90137614678899,-8.40783096307499,8.407830963074986,72.69383135257499,15.70458404074703,10.922467458970006,58.68105515587529,19.59232613908873,8.896882494004796,-14.012776196699697,3.8877420983417004,-2.0255849649652102
24031700724,44784.0,63361.0,1269.0,1485.0,145700.0,530200.0,41.48133261879243,17.02127659574468,263.8984214138641,14.388489208633093,85.61151079136691,6.1465721040189125,93.85342789598108,-8.241917104614181,8.241917104614174,31.50937596065171,27.697509990777743,34.61420227482324,21.81107099879663,24.30806257521059,40.37304452466907,-9.69830496185508,-3.389447415567151,5.758842249845827
24031700725,,72031.0,,1916.0,,279200.0,,,,,,,,,,,,,,,,,,
24031700726,,,,1889.0,,490800.0,,,,,,,,,,,,,,,,,,
24031700727,,85500.0,,1568.0,,440800.0,,,,,,,,,,,,,,,,,,
24031700728,,99444.0,,2111.0,,554000.0,,,,,,,,,,,,,,,,,,
24031700729,,130833.0,,1824.0,,445400.0,,,,,,,,,,,,,,,,,,
24031700730,,111842.0,,1850.0,,471900.0,,,,,,,,,,,,,,,,,,
24031700731,,77281.0,,2084.0,,471300.0,,,,,,,,,,,,,,,,,,
24031700732,,80375.0,,1486.0,,314400.0,,,,,,,,,,,,,,,,,,
24031700733,,86231.0,,1837.0,,304400.0,,,,,,,,,,,,,,,,,,
24031700810,99960.0,153281.0,1738.0,2253.0,336300.0,398200.0,53.342336934773904,29.63176064441887,18.4061849539102,86.76470588235294,13.23529411764706,82.78641335636155,17.213586643638457,-3.978292525991392,3.9782925259913977,52.90964777947933,30.130168453292494,17.094180704441044,26.024834155468618,28.42320122469808,31.978227589726142,-26.88481362401071,-1.706967228594415,14.884046885285098
24031700811,83389.0,90217.0,1846.0,2327.0,267700.0,371700.0,8.188130328940268,26.05633802816901,38.84945834889802,67.9375,32.0625,72.41610738255034,27.583892617449663,4.4786073825503365,-4.4786073825503365,49.465558194774346,21.318289786223275,36.67854315122724,25.266297400937365,30.315296122709846,37.409458883681296,-24.19926079383698,8.99700633648657,0.7309157324540578
24031700812,76471.0,90919.0,1415.0,2160.0,268500.0,346700.0,18.89343672764839,52.65017667844523,29.124767225325886,74.4186046511628,25.58139534883721,77.84431137724552,22.15568862275449,3.4257067260827228,-3.4257067260827228,65.61521791476042,10.98001444738743,28.557669154827835,43.52580927384077,20.10061242344707,25.04374453193351,-22.08940864091965,9.12059797605964,-3.5139246228943257
24031700813,76018.0,102468.0,1234.0,1626.0,243400.0,367600.0,34.794390802178434,31.766612641815232,51.02711585866886,72.67297162767547,27.32702837232454,76.91556857003417,23.08443142996584,4.242596942358702,-4.242596942358702,52.881302849984344,21.813341684935796,30.159724397118698,38.24806494242024,17.1040211440438,31.9614876345101,-14.633237907564101,-4.709320540891998,1.8017632373914019
24031700815,90962.0,106404.0,1796.0,2296.0,268200.0,366500.0,16.976319781886943,27.839643652561247,36.6517524235645,83.73540856031128,16.264591439688715,79.73291437549096,20.26708562450904,-4.002494184820321,4.002494184820321,51.58827874907658,20.49987687761635,32.63974390544201,26.54747225647349,30.22194821208385,35.94327990135635,-25.04080649260309,9.722071334467497,3.3035359959143378
24031700816,72681.0,,1407.0,,286400.0,,,,,,,,,,,,,,,,,,,
24031700817,84583.0,,1733.0,,373300.0,,,,,,,,,,,,,,,,,,,
24031700818,65422.0,79668.0,1404.0,1776.0,244600.0,370400.0,21.775549509339363,26.495726495726498,51.43090760425184,24.685343077547707,75.3146569224523,22.22222222222222,77.77777777777779,-2.463120855325485,2.463120855325485,38.66586175671597,34.89284636281316,28.086326592212497,20.26064555235642,28.17093499015002,40.11213820275799,-18.40521620435955,-6.72191137266314,12.025811610545492
24031700819,75343.0,102798.0,1672.0,2099.0,258800.0,360100.0,36.44001433444381,25.53827751196172,39.14219474497681,88.08152414709792,11.918475852902082,68.92797319932998,31.072026800670017,-19.15355094776794,19.153550947767933,58.283089290841225,22.064312374389893,23.786965259833476,34.96845425867508,16.94006309148265,26.072555205047323,-23.314635032166144,-5.124249282907243,2.2855899452138466
